TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000001,30001,2026-01-31,2026-02-02,USD,251803.79,0.00,Loan repayment,REF57301268,perfect
LDG00000002,10002,2026-01-09,2026-01-09,USD,277391.57,0.00,Supplier payment,REF45162373,perfect
LDG00000003,70001,2026-01-31,2026-02-02,CHF,2158.78,0.00,Utility payment,REF78179205,perfect
LDG00000004,70001,2026-02-07,2026-02-10,GBP,261628.66,0.00,Intercompany transfer out,REF31800109,perfect
LDG00000005,10001,2026-01-02,2026-01-06,USD,389146.49,0.00,Commission expense,REF67901144,perfect
LDG00000006,10002,2026-03-01,2026-03-03,CAD,81674.82,0.00,Rent payment,REF94370378,perfect
LDG00000007,10001,2026-03-30,2026-04-01,USD,0.00,251908.99,Trade settlement receipt,REF20084796,perfect
LDG00000008,50001,2026-03-11,2026-03-11,GBP,0.00,456732.51,Trade settlement receipt,REF73933539,perfect
LDG00000009,40001,2026-02-26,2026-02-26,AUD,17736.88,0.00,Trade settlement payment,REF30518525,perfect
LDG00000010,20002,2026-03-20,2026-03-24,CHF,73149.06,0.00,SEPA direct debit,REF81290220,perfect
